"id","time","accX","accY","accZ","gyroX","gyroY","gyroZ","rot1","rot2","rot3","rot4","rot5","rot6","rot7","rot8","rot9"
"6","1958228689588","9.8158","1.09099","-2.30858","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958245565809","9.8158","1.09099","-2.30858","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958262289442","9.8158","1.09099","-2.30858","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958279104627","9.8158","1.09099","-2.30858","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958295889295","9.8158","1.09099","-2.30858","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958312643446","9.8158","1.09099","-2.30858","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958329458631","9.8158","1.09099","-2.30858","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958347830213","9.8158","1.09099","-2.30858","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958357809461","9.8158","1.09099","-2.30858","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958371450819","9.8158","1.07182","-2.17447","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958388266004","9.83495","1.05267","-2.30858","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958397818006","9.85411","1.03351","-2.32774","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958413381971","9.87326","1.05267","-2.34689","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958430227674","9.83495","1.07182","-2.28943","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958446951307","9.79663","1.05267","-2.2511","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958463674940","9.8158","1.03351","-2.28943","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958480520643","9.85411","1.05267","-2.36606","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958497274793","9.8158","1.05267","-2.40437","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958514089979","9.85411","1.11014","-2.30858","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958530874647","9.85411","1.11014","-2.28943","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958547598280","9.8158","1.07182","-2.27026","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958564413465","9.83495","1.05267","-2.30858","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958581259168","9.83495","1.05267","-2.36606","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958598043836","9.85411","1.09099","-2.36606","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1958614828504","9.83495","1.07182","-2.30858","0","0","0","0.142062","-0.97793","0.153202","-0.206204","-0.180614","-0.961696","0.968142","0.105029","-0.227311"
"6","1958631582655","9.77748","1.07182","-2.11699","0","0","0","0.151624","-0.968329","0.198368","-0.199277","-0.226514","-0.953404","0.968142","0.105029","-0.227311"
"6","1958648397840","9.8158","1.05267","-2.11699","0","0","0","0.153292","-0.965983","0.208277","-0.195968","-0.236299","-0.951714","0.968555","0.105075","-0.225524"
"6","1958665274061","9.8158","1.05267","-2.11699","0","0","0","0.154203","-0.964678","0.213583","-0.194415","-0.241567","-0.950709","0.968723","0.105079","-0.224798"
"6","1958681967176","9.83495","1.05267","-2.09784","0","0","0","0.146833","-0.973029","0.177918","-0.20004","-0.205361","-0.958025","0.968723","0.105079","-0.224798"
"6","1958698660291","9.85411","1.09099","-2.09784","0","0","0","0.146742","-0.972983","0.178241","-0.199313","-0.20558","-0.958129","0.968886","0.105072","-0.224096"
"6","1958715536512","9.85411","1.07182","-2.09784","0","0","0","0.145441","-0.974078","0.173258","-0.198525","-0.200291","-0.959412","0.969245","0.105141","-0.222509"
"6","1958732290663","9.85411","1.05267","-2.15532","0","0","0","0.150362","-0.968619","0.197909","-0.194172","-0.22522","-0.954763","0.969375","0.105131","-0.221944"
"6","1958749105848","9.83495","1.03351","-2.17447","0","0","0","0.132858","-0.984467","0.114778","-0.205981","-0.140701","-0.968388","0.969495","0.105016","-0.221475"
"6","1958765859998","9.85411","1.05267","-2.19363","0","0","0","0.143947","-0.975099","0.168703","-0.197836","-0.195393","-0.960564","0.969608","0.104895","-0.221036"
"6","1958782644666","9.85411","1.03351","-2.21278","0","0","0","0.144871","-0.974175","0.173194","-0.19716","-0.199951","-0.959764","0.969608","0.104895","-0.221036"
"6","1958799429334","9.8158","1.03351","-2.11699","0","0","0","0.132148","-0.984654","0.113987","-0.20502","-0.13966","-0.968742","0.969796","0.104648","-0.220329"
"6","1958816244520","9.8158","1.07182","-2.09784","0","0","0","0.145576","-0.973056","0.178802","-0.195188","-0.205423","-0.959011","0.969902","0.104709","-0.219834"
"6","1958833029188","9.83495","1.05267","-2.13615","0","0","0","0.151264","-0.966509","0.207317","-0.190425","-0.234293","-0.953334","0.969978","0.104727","-0.219487"
"6","1958849783338","9.8158","1.07182","-2.11699","0","0","0","0.150127","-0.967887","0.201633","-0.191322","-0.228531","-0.954552","0.969978","0.104727","-0.219487"
"6","1958866568006","9.83495","1.07182","-2.17447","0","0","0","0.158293","-0.95689","0.243528","-0.184079","-0.270912","-0.94484","0.970082","0.104733","-0.219026"
"6","1958883352674","9.79663","1.07182","-2.15532","0","0","0","0.147535","-0.970755","0.18939","-0.192591","-0.216017","-0.957207","0.970125","0.104746","-0.218829"
"6","1958900167860","9.8158","1.03351","-2.17447","0","0","0","0.157929","-0.957386","0.241807","-0.183933","-0.269116","-0.945381","0.970169","0.104826","-0.218596"
"6","1958916952528","9.83495","1.05267","-2.19363","0","0","0","0.157873","-0.957348","0.241992","-0.183673","-0.269258","-0.945391","0.970227","0.104804","-0.218347"
"6","1958933706678","9.8158","1.07182","-2.13615","0","0","0","0.156779","-0.958822","0.236811","-0.184448","-0.263984","-0.946727","0.970257","0.104748","-0.218241"
"6","1958950521864","9.85411","1.05267","-2.17447","0","0","0","0.159772","-0.954144","0.253143","-0.181314","-0.280439","-0.942592","0.97036","0.104702","-0.217806"
"6","1958967306532","9.83495","1.05267","-2.19363","0","0","0","0.151436","-0.965817","0.210391","-0.188332","-0.237139","-0.953046","0.97036","0.104702","-0.217806"
"6","1958984121717","9.83495","1.07182","-2.21278","0","0","0","0.15148","-0.965844","0.210237","-0.188447","-0.237008","-0.953055","0.970331","0.10475","-0.217913"
"6","1959000936903","9.83495","1.07182","-2.17447","0","0","0","0.146546","-0.971662","0.185466","-0.192364","-0.211904","-0.958172","0.97032","0.104739","-0.217967"
"6","1959017630018","9.83495","1.07182","-2.19363","0","0","0","0.146546","-0.971662","0.185466","-0.192347","-0.211902","-0.958175","0.970323","0.104743","-0.217949"
"6","1959034506239","9.8158","1.03351","-2.21278","0","0","0","0.159677","-0.954477","0.251948","-0.181595","-0.279268","-0.942885","0.970323","0.104804","-0.217921"
"6","1959051290907","9.8158","1.05267","-2.21278","0","0","0","0.149809","-0.967885","0.201882","-0.189816","-0.228543","-0.95485","0.970323","0.104724","-0.217958"
"6","1959068045057","9.8158","1.03351","-2.23195","0","0","0","0.148083","-0.96987","0.193453","-0.191132","-0.219988","-0.956595","0.97033","0.104681","-0.21795"
"6","1959084799207","9.8158","1.05267","-2.17447","0","0","0","0.141878","-0.976351","0.163123","-0.195671","-0.1892","-0.95335","0.970352","0.104603","-0.217887"
"6","1959101553358","9.83495","1.05267","-2.15532","0","0","0","0.158274","-0.956298","0.245854","-0.18272","-0.273059","-0.944485","0.970342","0.104565","-0.217953"
"6","1959118338026","9.83495","1.01434","-2.15532","0","0","0","0.158258","-0.956286","0.245911","-0.182718","-0.273111","-0.944471","0.970345","0.104538","-0.217952"
"6","1959135183729","9.87326","1.03351","-2.21278","0","0","0","0.144665","-0.973377","0.177791","-0.193596","-0.204052","-0.959627","0.970357","0.104405","-0.217961"
"6","1959151937879","9.83495","1.03351","-2.23195","0","0","0","0.165033","-0.944867","0.282825","-0.176472","-0.310418","-0.934076","0.970372","0.104243","-0.217972"
"6","1959168661512","9.79663","1.07182","-2.23195","0","0","0","0.161834","-0.950095","0.266702","-0.179486","-0.294096","-0.938772","0.970358","0.104055","-0.218123"
"6","1959185537733","9.83495","1.03351","-2.27026","0","0","0","0.155852","-0.959429","0.234958","-0.185032","-0.262011","-0.947161","0.970295","0.104142","-0.21836"
