"id","time","accX","accY","accZ","gyroX","gyroY","gyroZ","rot1","rot2","rot3","rot4","rot5","rot6","rot7","rot8","rot9"
"9","333443393202911","9.94991","0.075592","-1.61888","0","0","0","0","0","0","0","0","0","0","0","0"
"9","333443402480255","9.91159","0.075592","-1.61888","0","0","0","0","0","0","0","0","0","0","0","0"
"9","333443419264923","9.89243","0.0947571","-1.46562","0","0","0","0","0","0","0","0","0","0","0","0"
"9","333443436080108","9.89243","0.0947571","-1.48477","0","0","0","0.0410751","-0.978255","0.203297","-0.155039","-0.207244","-0.965926","0.987054","0.00815659","-0.16018"
"9","333443452864776","9.85411","0.0947571","-1.40814","0","0","0","0.0440504","-0.973455","0.224599","-0.149439","-0.228709","-0.961957","0.987789","0.0088107","-0.155547"
"9","333443469649444","9.79663","0.0564423","-1.44646","0","0","0","0.0432564","-0.974328","0.22094","-0.146107","-0.224939","-0.963356","0.988323","0.0093905","-0.152086"
"9","333443486464630","9.83495","-0.0010376","-1.50394","0","0","0","0.0391889","-0.979841","0.195897","-0.147077","-0.199568","-0.968783","0.988348","0.00915367","-0.151933"
"9","333443503188263","9.89243","-0.0010376","-1.48477","0","0","0","0.0415585","-0.975742","0.214942","-0.146401","-0.218752","-0.964735","0.988352","0.00862536","-0.15194"
"9","333443520003448","9.83495","0.075592","-1.46562","0","0","0","0.0459953","-0.968632","0.244206","-0.145068","-0.24835","-0.957746","0.988352","0.00862536","-0.15194"
"9","333443536849151","9.79663","0.152222","-1.40814","0","0","0","0.0419824","-0.974379","0.220961","-0.146128","-0.224766","-0.963393","0.988374","0.00815685","-0.151821"
"9","333443553664337","9.77748","0.152222","-1.36983","0","0","0","0.0517886","-0.956659","0.286567","-0.142678","-0.291096","-0.945995","0.988413","0.00810504","-0.15157"
"9","333443570326934","9.85411","0.113907","-1.33151","0","0","0","0.0463968","-0.967246","0.249563","-0.143971","-0.253698","-0.956509","0.988494","0.00844932","-0.151026"
"9","333443587111602","9.93074","0.075592","-1.44646","0","0","0","0.0464901","-0.967319","0.249266","-0.143141","-0.253412","-0.95671","0.98861","0.0087974","-0.150244"
"9","333443604018341","9.94991","0.113907","-1.50394","0","0","0","0.0464673","-0.967264","0.249482","-0.142179","-0.253613","-0.9568","0.98875","0.00898875","-0.14931"
"9","333443620741974","9.94991","0.133072","-1.5614","0","0","0","0.0488511","-0.963276","0.26403","-0.14163","-0.268355","-0.952852","0.988714","0.00915338","-0.149538"
"9","333443637526642","9.91159","0.0947571","-1.50394","0","0","0","0.0496795","-0.962334","0.267292","-0.141821","-0.271708","-0.951873","0.988645","0.00938107","-0.149977"
"9","333443654280792","9.93074","0.0947571","-1.50394","0","0","0","0.040733","-0.977548","0.20674","-0.144746","-0.210502","-0.966818","0.98863","0.00945678","-0.15007"
"9","333443671095977","9.98822","0.0564423","-1.59972","0","0","0","0.0568352","-0.947554","0.314502","-0.139264","-0.319455","-0.937312","0.988623","0.00947373","-0.150116"
"9","333443687850128","10.0457","0.0181122","-1.69551","0","0","0","0.0448513","-0.971034","0.234693","-0.144079","-0.238761","-0.96033","0.988549","0.0092577","-0.150614"
"9","333443704665313","10.0265","-0.0202026","-1.71468","0","0","0","0.0491273","-0.963483","0.263223","-0.142677","-0.267608","-0.952906","0.988549","0.0092577","-0.150614"
"9","333443721480499","9.94991","-0.0010376","-1.73383","0","0","0","0.0443559","-0.971028","0.234815","-0.146149","-0.238825","-0.960002","0.988268","0.00826369","-0.152508"
"9","333443738204132","9.93074","-0.0010376","-1.69551","0","0","0","0.0456586","-0.968667","0.244131","-0.147001","-0.248241","-0.95748","0.988082","0.00782963","-0.153729"
"9","333443755019317","9.94991","0.0372772","-1.84879","0","0","0","0.0478989","-0.96463","0.25922","-0.147455","-0.263504","-0.953322","0.987908","0.00743988","-0.154861"
"9","333443771834503","9.94991","0.0947571","-1.8871","0","0","0","0.0531017","-0.954671","0.292889","-0.145662","-0.297571","-0.943522","0.987908","0.00743988","-0.154861"
"9","333443788619171","9.93074","0.171387","-1.86794","0","0","0","0.0449646","-0.970038","0.238757","-0.150142","-0.242846","-0.958375","0.987641","0.00724563","-0.156563"
"9","333443805342804","9.91159","0.133072","-1.73383","0","0","0","0.0546964","-0.953464","0.296505","-0.148794","-0.301417","-0.941811","0.987354","0.00739543","-0.158356"
"9","333443822157989","9.89243","0.0947571","-1.75299","0","0","0","0.0554911","-0.953608","0.295891","-0.150057","-0.300947","-0.941761","0.987119","0.00785869","-0.159796"
"9","333443838973175","9.87326","0.113907","-1.81047","0","0","0","0.0461098","-0.971094","0.2342","-0.154016","-0.238557","-0.958837","0.986992","0.00814112","-0.160564"
"9","333443855727325","9.83495","0.113907","-1.90625","0","0","0","0.0460026","-0.971667","0.231835","-0.154843","-0.236211","-0.959285","0.986867","0.00823158","-0.161322"
"9","333443872481475","9.79663","0.133072","-1.82962","0","0","0","0.0538558","-0.959109","0.277865","-0.153448","-0.282913","-0.946791","0.986688","0.00835238","-0.16241"
"9","333443889296661","9.75832","0.0947571","-1.8871","0","0","0","0.0499587","-0.967637","0.247352","-0.157796","-0.252198","-0.954723","0.986207","0.00866542","-0.165289"
"9","333443906081329","9.79663","0.0947571","-2.00204","0","0","0","0.0432938","-0.977366","0.207076","-0.159754","-0.211376","-0.964261","0.986207","0.00866542","-0.165289"
"9","333443922865997","9.83495","0.113907","-1.92542","0","0","0","0.0478897","-0.971525","0.232049","-0.160138","-0.236778","-0.958276","0.985932","0.00873174","-0.166917"
"9","333443939681183","9.79663","0.0947571","-1.77214","0","0","0","0.048666","-0.971126","0.233551","-0.161825","-0.238405","-0.957589","0.985619","0.00880766","-0.168754"
"9","333443956435333","9.68169","0.0372772","-1.73383","0","0","0","0.0400209","-0.982863","0.179943","-0.165551","-0.184121","-0.968861","0.98529","0.00894857","-0.170655"
"9","333443973158966","9.60506","0.0372772","-1.75299","0","0","0","0.0463956","-0.975127","0.216737","-0.16447","-0.221466","-0.961198","0.98529","0.00894857","-0.170655"
"9","333443990035186","9.62421","0.0947571","-1.75299","0","0","0","0.0437852","-0.978302","0.202504","-0.165519","-0.207001","-0.964238","0.985234","0.00870116","-0.170991"
"9","333444006850372","9.62421","0.0564423","-1.69551","0","0","0","0.0504184","-0.969252","0.240849","-0.164393","-0.24592","-0.955248","0.985106","0.00856829","-0.171737"
"9","333444023604522","9.8158","-0.0393524","-1.81047","0","0","0","0.047605","-0.973197","0.22499","-0.165657","-0.229819","-0.959031","0.985034","0.00838336","-0.172158"
"9","333444041243683","10.1223","-0.115982","-1.81047","0","0","0","0.0459445","-0.974711","0.218697","-0.16678","-0.22334","-0.960366","0.984923","0.00764943","-0.172823"
"9","333444058089386","10.3522","-0.135147","-1.63805","0","0","0","0.0557626","-0.958128","0.280858","-0.163861","-0.286263","-0.944035","0.984906","0.00662028","-0.172962"
